Bedrooms,FirstName,LastName,Phone,Address,City,Price,Website,Email,PublicRemarks,BouncerStatus,BouncerReason,BouncerOutcome,EmailSource
5,Waxhaw,Landing,,1026 Honey Trl,Monroe,559990,,,"Enter the Lassen, greeted by a foyer open to a flex room/study and bedroom with a full bath. Continue to the large open Great Room with a fireplace, dining area, and kitchen featuring a large island, breakfast bar, and walk-in pantry. A 2-car garage completes the first floor. The second floor features an owners suite, laundry room, a loft, three additional bedrooms, and a/two full bathrooms. At Waxhaw Landing, discover Mattamy's distinctive streetscapes surrounded by natural spaces, thoughtful architectural details, and superior standard finishes in single-family homes featuring both 1- and 2-story designs with 3-6 bedrooms, 2-car garages, covered verandas, and screen porches tentatively priced from the upper $300s. It's Mattamy quality and style at an exceptional price, located in an exceptional area. *Availability, prices, financing promotion and offers subject to change without notice. Square footage is approximate. Please see your New Home Counselor for details.",,,not_found,none
4,Waxhaw,Landing,,1107 Honey Trl,Monroe,439990,,,"Upon entering the Redwood, you are greeted by a foyer that opens to a flex room/study/guest bedroom and shared bath. Continue to the spacious Great Room with a fireplace and dining room with patio, open to the kitchen featuring a large island, breakfast bar, and stainless-steel appliances. Head to the second floor to find the large owners suite, loft, two additional bedrooms, a full bathroom, and a convenient laundry room. It's the small-town lifestyle you've always wanted at Waxhaw Landing. Enjoy the best of quaint community living with proximity to shopping, entertainment, and recreation, all while being located on Hwy 75, minutes from historic Waxhaw and Monroe. Convenient access to nearby schools includes Union Academy, Monroe Charter Academy, Walter Bickett Elementary, Monroe Middle, and Monroe High School. Celebrate local farmers at the Waxhaw Farmers Market and enjoy boating, biking, and camping at beautiful 1,050-acre Cane Creek Park. *Availability, pricing, promotions, specifications, and features are subject to change without notice. Square footage is approximate. Renderings are for illustrative purposes only. See your New Home Counselor for details.",,,not_found,none
4,Savona,,,15625 Northcross Dr,Huntersville,593500,,,"Main Level Guest Suite, Upgraded Cabinets and Kitchen Tile Backsplash, Upgraded Quartz Countertops in Carrara Delphi, Full Tile Shower in Primary and Secondary Bathroom, Walk-in Laundry with Lower Cabinets and Sink, Hard Surface Floors at Stairs, Loft and Bedrooms, Exterior Landscape Maintenance and More!",,,not_found,none
4,Waxhaw,Landing,,1036 Honey Trl,Monroe,559990,,,"Enter the Poinsett, greeted by a foyer open to a formal dining room/a study. Continue to the large open Great Room with a gas fireplace, breakfast area, and den/guest suite with a full bath. The kitchen features a large island, breakfast bar, and walk-in pantry. A 2-car garage completes the first floor. The second floor features an owners suite, laundry room, a loft, three additional bedrooms, and a/two full bathrooms. At Waxhaw Landing, discover Mattamy's distinctive streetscapes surrounded by natural spaces, thoughtful architectural details, and superior standard finishes in single-family homes featuring both 1- and 2-story designs with 3-6 bedrooms, 2-car garages, covered verandas, and screen porches tentatively priced from the upper $300s. It's Mattamy quality and style at an exceptional price, located in an exceptional area. *Availability, pricing, promotions, specifications, and features are subject to change without notice. Square footage is approximate. Renderings are for illustrative purposes only. See your New Home Counselor for details.",,,not_found,none
4,Aurora,Acres,,5021 Astra Ln,Snow Camp,409440,,,"5021 Astra Lane could be your new home today! Welcome to the Hayden, one of our two-story floorplans in Aurora Acres in Snow Camp, NC. This home features 4 bedrooms, 3 bathrooms, 2,511 sq. ft. of living space, and a 2-car garage. Upon entering the home, you'll be greeted by a foyer passing by the flex room, then led into the center of the home. This open-concept space features a functional kitchen, the living room, a breakfast area, a study and a full bathroom in the back left of the home. The kitchen is equipped with a corner walk-in pantry, quartz countertops, stainless steel appliances, kitchen island, and a breakfast area. The second floor hosts the spacious primary bedroom and primary bathroom boasting two walk-in closets, a walk-in shower, dual vanity, and separate water closet for ultimate privacy. The additional three bedrooms share a third full bathroom. The laundry room and loft complete the second floor. With its luxurious design and ample space, the Hayden is the perfect place to call home.",,,not_found,none
3,Wildbrook,Village,,193 Wildbrook Dr,Waynesville,369890,,,"The Aria at Wildbrook Village offers the ease of single-level living combined with the beauty and convenience of life in Waynesville. Located near charming downtown Waynesville, shopping, dining, outdoor recreation, and everyday essentials, Wildbrook Village provides the perfect setting to enjoy the best of Western North Carolina. This thoughtfully designed ranch home features 3 bedrooms and 2 bathrooms with an open-concept layout ideal for both everyday living and entertaining. A welcoming foyer leads into the spacious living room, dining area, and kitchen, creating a bright and connected living space. The kitchen features ample cabinet storage, modern finishes, and a functional layout that makes meal preparation and gathering with family and friends effortless. The private primary suite serves as a relaxing retreat, complete with a spacious walk-in closet and an ensuite bathroom featuring dual vanities and a walk-in shower. Two additional bedrooms and a second full bathroom provide flexibility for guests, family members, or a home office. A conveniently located laundry room adds to the home's practical design. Step outside to the covered rear porch, the perfect place to enjoy your morning coffee, relax after a long day, or take in the peaceful mountain surroundings. With a two-car garage, thoughtfully designed living spaces, and the convenience of one-level living, the Aria at Wildbrook Village offers comfort, functionality, and the mountain lifestyle you've been looking",,,not_found,none
5,Rolling,Hills,,2016 Cypress Hill Drive SE,Bolivia,384990,,,"The Iberville floorplan in Rolling Hills located in Bolivia, North Carolina is a two-story home offering 2,614 square feet of living space across 5 bedrooms and 3 full bathrooms. Your style, your way. This plan offers a flex space just off the foyer that could be a dedicated home office or formal dining room for entertaining family and friends. A guest bedroom plus a full bath on the main also ensures a private space for visitors. The central family room opens to a casual dining area and an open kitchen with extended island. This well-appointed space offers bar top seating, so everyone stays connected and features include granite countertops, stainless steel appliances and contemporary cabinetry. Upstairs there is a generous primary suite with adjoining bath that offers a garden tub, separate shower, dual vanities and plenty of closet space. Secondary bedrooms ensure everyone has their own space, plus there is an additional living room perfect for family movie nights, gaming or just a place to get away and relax. And you will never be too far from home with Home Is Connected(R) Smart Home Technology is included in your new home and comes with an industry-leading suite of smart home products including touchscreen interface, HD video doorbell, smart door lock, smart thermostat all controlled by smartphone app with voice! The photos you see here are for illustration purposes only, interior and exterior features, options, colors and selections will vary from the homes as buil",,,not_found,none
3,Providence,Walk,,242 Lauren Ln,Hendersonville,327390,,,"The Maywood at Providence Walk combines an inviting open-concept layout with thoughtful spaces designed for modern living. On the main level, a spacious family room flows effortlessly into the dining area and kitchen, where a large center island creates the perfect gathering spot for meal prep, casual dining, and entertaining. A convenient half bath, attached one-car garage, and rear patio add both functionality and outdoor enjoyment to the home's well-designed first floor. Upstairs, the private primary suite offers a relaxing retreat with a spacious bedroom, an ensuite bath featuring a dual vanity and walk-in shower, plus two linen closets for added storage. The generously sized walk-in closet provides plenty of room for organization. Two additional bedrooms, a full secondary bathroom with a bathtub, and a centrally located laundry room complete the second floor, making everyday routines more convenient for the whole household. Nestled in the sought-after Providence Walk community in Hendersonville, homeowners enjoy easy access to the Ecusta Trail, downtown Hendersonville, local dining, shopping, and outdoor recreation. Combining a desirable location with a comfortable and functional floorplan, the Maywood is an excellent place to call home.",,,not_found,none
3,Providence,Walk,,20 Katherine Emilie Dr,Hendersonville,356690,,,"The Brandon at Providence Walk offers a smart, open-concept design that blends comfort and functionality in one beautiful home. The main level features a spacious family room that flows seamlessly into the dining area and kitchen, creating the perfect space for everyday living and entertaining. Sliding glass doors provide easy access to the backyard, while a convenient half bath and attached one-car garage complete the first floor. Upstairs, the private primary suite serves as a relaxing retreat with a generously sized bedroom, a luxurious bath featuring a dual vanity and walk-in shower with glass doors, and a large walk-in closet. Two additional bedrooms share a full bathroom with a bathtub, and the nearby laundry room adds everyday convenience right where you need it most. Located in the desirable Providence Walk community in Hendersonville, residents enjoy easy access to the Ecusta Trail and the charm of downtown Hendersonville. With shopping, dining, recreation, and outdoor adventures just minutes away, Providence Walk offers the perfect balance of peaceful living and everyday convenience.",,,not_found,none
3,Wildbrook,Village,,200 Wildbrook Dr,Waynesville,373090,,,"Discover the perfect blend of space, flexibility, and mountain living with the Penwell, a thoughtfully designed two-story home offering 2,175 square feet of comfortable living space in the beautiful Wildbrook Village community in Waynesville. The main level is designed for both everyday living and entertaining, featuring a spacious great room, modern kitchen, convenient half bath, and a versatile flex room or study that can be tailored to fit your lifestyle. Whether you need a home office, playroom, formal dining area, or hobby space, the Penwell offers the flexibility to make the home your own. Upstairs, you'll find a private primary suite complete with an attached full bathroom and a generous walk-in closet. Two additional bedrooms, a second full bathroom, and a conveniently located laundry room provide functionality and comfort for the entire family. For even greater flexibility, the Penwell is available with either a fourth bedroom option or a large loft space, allowing you to choose the layout that best suits your needs. A two-car garage completes this spacious and practical design. Nestled in the charming Jonathan Creek area of Waynesville, Wildbrook Village offers a truly unique mountain lifestyle. Surrounded by the stunning beauty of Western North Carolina's mountains and situated alongside a picturesque creek, residents can enjoy peaceful outdoor living and cool off with a refreshing creekside stroll on warm summer days. Conveniently located just minutes from Magg",,,not_found,none
3,Providence,Walk,,248 Lauren Ln,Hendersonville,326390,,,"The Maywood at Providence Walk combines an inviting open-concept layout with thoughtful spaces designed for modern living. On the main level, a spacious family room flows effortlessly into the dining area and kitchen, where a large center island creates the perfect gathering spot for meal prep, casual dining, and entertaining. A convenient half bath, attached one-car garage, and rear patio add both functionality and outdoor enjoyment to the home's well-designed first floor. Upstairs, the private primary suite offers a relaxing retreat with a spacious bedroom, an ensuite bath featuring a dual vanity and walk-in shower, plus two linen closets for added storage. The generously sized walk-in closet provides plenty of room for organization. Two additional bedrooms, a full secondary bathroom with a bathtub, and a centrally located laundry room complete the second floor, making everyday routines more convenient for the whole household. Nestled in the sought-after Providence Walk community in Hendersonville, homeowners enjoy easy access to the Ecusta Trail, downtown Hendersonville, local dining, shopping, and outdoor recreation. Combining a desirable location with a comfortable and functional floorplan, the Maywood is an excellent place to call home.",,,not_found,none
4,Aurora,Acres,,5037 Astra Ln,Snow Camp,442525,,,"Welcome home to 5037 Astra Lane! The Columbia is a spacious and modern two-story home offering 4 bedrooms, 3.5 baths, 3,108 sq. ft. of living space, and a 2-car garage. The moment you step inside the home you will be greeted by the foyer which connects you first to a home office and then to a formal dining room. The open-concept layout integrates the main living area, which is a spacious family room. The gourmet kitchen, features stainless steel appliances, center island, ample cabinets, quartz countertops, ceramic tile backsplash, and a large breakfast room perfect for casual dining. Upstairs, there is a spacious primary bedroom with private bathroom and large walk-in closet. The additional three bedrooms all include walk-in closets, built with comfort. The Columbia includes versatile loft area that can be a media room, playroom, or home gym. With its thoughtful design and spacious layout, the Columbia is the perfect place to call home.",,,not_found,none
3,Indigo,Preserve Townhomes,,3225 Butterfly Ginger St Lot 73,Leland,478990,,,"Welcome to this beautifully designed ranch-style 2-story home - The Bradford! Located in the highly sought-after Indigo Preserve community in the heart of Leland. This charming home offers 3 spacious bedrooms, a French-door flex room that is perfect for an office or formal dining space, 3 full baths, and a versatile upstairs bonus room. The living area is an open concept, where your kitchen, living, and dining areas blend seamlessly into a space perfect for everyday living and entertaining. This floorplan is features a desirable first floor primary suite, providing comfort and convenience with easy main-level living. Enjoy the covered patio perfect for entertaining and enjoying eastern North Carolina evenings. Residents of Indigo Preserve enjoy an exceptional lifestyle with resort-style amenities including a sparkling pool, pickleball courts, playground, open-air pavilion, and sidewalks throughout the community. Conveniently located near shopping, dining, and area beaches, this home offers the perfect blend of comfort, recreation, and coastal living. Home Is Connected(R) Smart Home Technology is included in your new home and comes with an industry-leading suite of smart home products. Contact us today and find your home at Indigo Preserve.",,,not_found,none
4,Carpenter,Falls,,702 Timber Terrace Dr,Durham,406940,,,"At the core of the Raven new home plan is the versatility you need. The first-floor bedroom with adjacent full bath can work as a guest suite, teens' getaway or home office well separated from the rest of the house! Ready this Summer!",,,not_found,none
